页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数
1,4816833317967192,大河报,2022-09-23 12:06:58,【陈继志陈词痛哭称对不起国家对不起唐山，受害方律师发声】9月23日，#唐山打人案一审宣判#，#唐山烧烤店打人案28名被告获刑#。庭审旁听人员告诉记者，在上周的庭审中，陈继志在最后陈词时曾痛哭流涕，说对不起国家，对不起唐山，对不起受害人。受害方律师、北京正公律师事务所主任崔家国告诉@大河报，28名被告全部到庭，宣判结束时情绪较为平静。详见陈继志在庭审中曾痛哭流涕称对不起唐山，受害人律师发声（大河报·豫视频记者陈曼胡嫦元张晶晶）,5167,6659,148771
1,4816892999762335,上海滩小律师,2022-09-23 16:04:07,【#唐山打人案一审宣判##陈继志一审被判24年#】这个案子从事发到判决，效率是相当的高，我注意到通报里说，从2012年以来，被告人陈继志等人还长期纠集在一起，在唐山市等地以暴力、威胁等手段，实施非法拘禁、聚众斗殴、故意伤害、开设赌场、抢劫、掩饰、隐瞒犯罪所得、帮助信息网络犯罪活动等违法犯罪活动，逐渐形成了以陈继志为纠集者，王晓磊等7名被告人为成员的恶势力组织。该恶势力组织为非作恶，欺压百姓，破坏当地经济、社会生活秩序，造成恶劣的社会影响。陈继志能判24年是因为各种罪实在太多了，从2012年就开始了各种犯罪，学过刑法的同学，一看到24年这个数字就明白很多了。刑法第六十九条规定【数罪并罚的一般原则】判决宣告以前一人犯数罪的，除判处死刑和无期徒刑的以外，应当在总和刑期以下、数刑中最高刑期以上，酌情决定执行的刑期，但是管制最高不能超过三年，拘役最高不能超过一年，有期徒刑总和刑期不满三十五年的，最高不能超过二十年，总和刑期在三十五年以上的，最高不能超过二十五年。数罪并罚有个原则叫限制加重原则，就是哪怕再多的罪，只要是很多小罪，哪怕最多也就二十五年。,10,35,461
1,4816820613153362,侠客岛,2022-09-23 11:16:29,【#陈继志恶势力组织欺压百姓造成恶劣社会影响#】被告人陈继志等人还长期纠集在一起，在唐山市等地以暴力、威胁等手段，实施非法拘禁、聚众斗殴、故意伤害、开设赌场、抢劫、掩饰、隐瞒犯罪所得、帮助信息网络犯罪活动等违法犯罪活动，逐渐形成了以陈继志为纠集者，王晓磊等7名被告人为成员的恶势力组织。该恶势力组织为非作恶，欺压百姓，破坏当地经济、社会生活秩序，造成恶劣的社会影响。#唐山打人案一审宣判#,212,439,4062
1,4816907889021591,环球人物杂志,2022-09-23 17:03:17,【#唐山打人案宣判本地人如何看#？】9月23日，廊坊市广阳区人民法院对“唐山打人案”公开宣判。唐山市民表示：这几个人给唐山抹黑了，罪有应得。希望大家不要因为这一些人抹杀了对整个城市的评价，欢迎大家来唐山做客。 #唐山打人案一审宣判# 环球人物杂志的微博视频 ,127,147,592
1,4816856974886002,澎湃新闻,2022-09-23 13:40:58,#唐山打人案一审宣判#【广阳法院：陈继志获刑24年，6名被告人赔偿4名被害人损失】#陈继志等6名被告赔偿4名被害人损失#9月23日，河北廊坊。据广阳法院消息，唐山打人案主犯陈继志一审获刑24年。陈继志等6被告人对寻衅滋事罪涉及的4名被害人的各项损失承担相应的赔偿责任。#唐山烧烤店打人案28名被告获刑 ​,20,27,76
1,4816900447797589,储殷,2022-09-23 16:33:42,唐山案主犯24年判重了？ 数罪并罚完全有可能#唐山打人案一审宣判##陈继志一审被判24年##唐山打人案# http://t.cn/A6SD9G88 ​,10,19,217
1,4827124596214916,陈塘第三公主,2022-10-21 21:40:50,被强的强就是用强的强啊 很难理解吗热搜那么多你从第一条往下挨个评论去吧 别几把点击你那岁月静好了丰县和唐山打人是不是实证 衣服和内衣都被扒了坐在地上是不是实证 你还想要什么实证 醒醒吧 ,0,0,1
1,4827110340299855,哈局巡道工BG2AXK,2022-10-21 20:44:11,#莆田鞋[超话]#唐山烧烤店打人事件，不仅是女孩子会感到恐惧，任何一个好好生活的正常人都会感到恐惧。我不希望大家把它单纯地看成是男女矛盾，而是遵纪守法生活的普通人和不遵循社会规则的人之间的矛盾。骚扰女生是很恐怖的，女性因为自己的性别更容易受到侵犯和骚扰。但更深层次的恐惧来源于，你知道这群人的目的...专注薯条的微博视频,0,0,1
1,4827101679324343,梵高影视,2022-10-21 20:09:46,@杭州平安联盟@杭州公安#唐山打人##酒后会干出啥出格事##杭州#今天凌晨12:30左右，楼下突然开始有男人和女人在楼下吵架，一直在那边很大声地说话，当时我已经吃完安眠药准备躺床了，楼下还在持续大声地吵架。【我住在4楼】大概过了5分钟左右，住在我楼上的一个小姐姐打开窗跟楼下说“大家都休息了，小声一点。”楼下那位持续大声说XXX的女士开始更大声地辱骂5楼小姐姐。我实在被吵地无法睡觉，于是打开手机录像开始录视频【也就是下方的视频】期间我没有说一句脏话，只是告诉他们，我第二天还要上班，要睡觉了，你们赶紧走【视频里是可以听到的】然后这个中年男人就开始耍酒疯，最后被同行的人拉走。之后就是5楼的小姐姐报警之后，来了2个辅警了解情况。了解情况的中途，这群人由于有一辆SUV停在公寓的停车场里，喝酒了找了代驾。因为我们需要找到车主【无牌车】，把车拦了下来。【今早8点我出门上班看到停车场里这辆黑色的suv已经不见了。】今早小姐姐告诉我她昨晚在派出所做完笔录了，后续也要等公安处理。我就想问问，凌晨1点在楼下骂人？就因为喝酒了就可以随便骂人吗？视频里明显可以看到那个白色短袖的男人在数我的楼层。我是一个人单独租住在酒店公寓，但是楼层不高，只有6楼。已经告诉家长了，家里人比较担心我的人身安全。如果我哪天没消息了，一定就是被这个男人害了！唐山打人的事情还不够吸取教训吗？无论如何，我都要有个结果！我不接受调解！我只要这7个人跟我和我楼上的小姐姐道歉！#求扩散##求扩#超市虾虾杀手的微博视频,0,0,0
1,4827095967205410,BruceKwok,2022-10-21 19:47:04,今年不正常的转发有很多。还是以唐山的案件为例子，一个一条微博没有发过的小号，发了一张没有正脸平头男人的图，说这是打人者出来了，甚至没有说这是哪个打人者。半个多小时内就上万转发。这根本不像活人能转发出来的，因为大部分人第一时间反应不应该是“这是哪个打人者”“长得像/不像”吗？一张没有正脸的图，而平头男子是中国各地随处可见的，更别说打人案被抓了九个人，难道没有任何人思考一下吗？,0,0,0
